"year_mon","type","category","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-05-01,"other","distilled spirits specialty",96092.23,144506.59,16541,15777.5
2016-05-01,"gin","flavored gins",7271.41,10912.58,1093,819.75
2016-05-01,"rum","flavored rum",403833.66,605910.07,45772,40034.54
2016-05-01,"schnapps","grape schnapps",19557.3,29346.45,2581,2460.75
2016-05-01,"liqueur","green creme de menthe",2892.75,4341.36,618,463.5
2016-05-01,"gin","imported dry gins",258261.33,387416.47,16530,16179.39
2016-05-01,"brandy","imported grape brandies",427515.36,641376.77,37897,15653.73
2016-05-01,"schnapps","imported schnapps",261582.04,392400.91,22513,20881.74
2016-05-01,"vodka","imported vodka",1052109.48,1578411.78,77734,79168.16
2016-05-01,"vodka","imported vodka - misc",380023.62,570160.09,33824,23610.9
2016-05-01,"whiskey","irish whiskies",251343.18,377068.53,14373,12452.32
2016-05-01,"rum","jamaica rum",19506.98,29260.41,1687,1540.5
2016-05-01,"whiskey","japanese whisky",596.76,895.2,12,9
2016-05-01,"liqueur","misc. american cordials & liqueurs",34841.05,52277.32,5060,3683.06
2016-05-01,"liqueur","misc. imported cordials & liqueurs",481385.39,722942.41,35685,27177.62
2016-05-01,"brandy","miscellaneous  brandies",8890.79,13338.17,1460,873.56
2016-05-01,"schnapps","miscellaneous schnapps",27141.62,40725.12,5145,3018.45
2016-05-01,"vodka","other proof vodka",2716.85,4077.07,359,424.25
2016-05-01,"brandy","peach brandies",14880.89,22325.32,3632,1794.29
2016-05-01,"schnapps","peach schnapps",66360.89,99567.26,9586,8853.25
2016-05-01,"schnapps","peppermint schnapps",120582,180906.86,19447,16671.3
2016-05-01,"rum","puerto rico & virgin islands rum",466332.47,699537.05,61624,66367.07
2016-05-01,"schnapps","raspberry schnapps",7814.49,11722.61,1348,1173.5
2016-05-01,"cocktail","rock & rye",631.04,947.2,128,96
2016-05-01,"schnapps","root beer schnapps",8457.21,12687.53,1345,1303.5
2016-05-01,"schnapps","schnapps - imported",149.76,224.64,12,9
2016-05-01,"whiskey","scotch whiskies",286145.98,429710.33,19308,21793.24
2016-05-01,"whiskey","single barrel bourbon whiskies",22613.31,33923.28,1036,777
2016-05-01,"whiskey","single malt scotch",133585.42,200384.3,4574,3625.8
2016-05-01,"schnapps","spearmint schnapps",1925,2887.5,385,385
2016-05-01,"rum","spiced rum",1335534.46,2003500.97,127835,129671.04
2016-05-01,"whiskey","straight bourbon whiskies",905750.14,1359710.87,74959,70801.61
2016-05-01,"whiskey","straight rye whiskies",34136.57,51205.95,2333,1749.75
2016-05-01,"schnapps","strawberry schnapps",5706.75,8562.75,1035,776.25
2016-05-01,"whiskey","tennessee whiskies",537720.91,806715.58,38061,27760.25
2016-05-01,"tequila","tequila",1027611.26,1542482.4,90891,72542.02
2016-05-01,"other","triple sec",58527.95,87825.31,20639,19215.97
2016-05-01,"schnapps","tropical fruit schnapps",4031.01,6048.44,834,772.25
2016-05-01,"vodka","vodka 80 proof",2223292.31,3336063.22,398245,384371.26
2016-05-01,"vodka","vodka flavored",475220.13,712966.33,64981,51773.98
2016-05-01,"schnapps","watermelon schnapps",22383.37,33586.61,2977,2810.5
2016-05-01,"whiskey","whiskey liqueur",821557.46,1232632.11,103682,73510.56
2016-05-01,"liqueur","white creme de cacao",2121.5,3183.91,453,339.75
2016-05-01,"unknown",NA,4958.46,7438.26,382,267.12
2016-06-01,"vodka","100 proof vodka",31172.22,46758.36,2679,2175.25
2016-06-01,"liqueur","amaretto - imported",2241.36,3362.4,72,54
2016-06-01,"other","american alcohol",26229.92,39346.92,2980,2235
2016-06-01,"liqueur","american amaretto",31474.6,47229.5,7273,6799
2016-06-01,"cocktail","american cocktails",418594.4,632268.15,58040,92949.98
2016-06-01,"gin","american dry gins",239121.86,358923.59,46440,39934.22
2016-06-01,"brandy","american grape brandies",183830.76,275805.71,45984,21822.78
2016-06-01,"gin","american sloe gins",2062.9,3094.35,393,374.75
2016-06-01,"liqueur","anisette",283.5,425.31,61,45.75
2016-06-01,"schnapps","apple schnapps",26336.85,39520.68,3467,3324.38
2016-06-01,"brandy","apricot brandies",13682.84,20528.65,2281,1977.87
2016-06-01,"rum","barbados rum",5587.08,8527.19,528,396
2016-06-01,"brandy","blackberry brandies",34787.49,52193.28,5699,5207.01
2016-06-01,"whiskey","blended whiskies",431376.3,647158.03,71469,67142.52
2016-06-01,"whiskey","bottled in bond bourbon",1769.76,2654.82,171,146.25
2016-06-01,"schnapps","butterscotch schnapps",21949.29,32934.04,3170,2803.75
2016-06-01,"whiskey","canadian whiskies",1795100.52,2699878.66,196405,194048.6
2016-06-01,"brandy","cherry brandies",5254.56,7881.84,962,721.5
2016-06-01,"schnapps","cinnamon schnapps",13399.99,20105.25,1737,1534.5
2016-06-01,"liqueur","coffee liqueurs",78191.25,117315.71,7060,5903.24
2016-06-01,"whiskey","corn whiskies",1172.88,1759.44,24,18
2016-06-01,"liqueur","cream liqueurs",219792.87,329705.35,17820,15346.22
2016-06-01,"liqueur","creme de almond",517.5,776.25,115,86.25
2016-06-01,"liqueur","dark creme de cacao",1707.99,2563.77,357,270.75
2016-06-01,"other","decanters & specialty packages",62759.76,94164.93,5839,5602.35
